OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN
587731187278086334,00:04:10.12,+00:40:12.7,30,0.933,0.0,0.0,0.033,0.033,0.0,0.033,0.895,0.071,0,0,1
587731187815022708,00:04:21.83,+01:05:21.0,55,0.909,0.0,0.0,0.036,0.055,0.0,0.036,0.889,0.056,0,0,1
587727179523686564,00:04:33.49,-09:51:20.1,24,0.917,0.042,0.0,0.042,0.0,0.0,0.083,0.901,0.099,0,1,0
587727221414035644,00:04:34.00,+14:26:28.4,29,0.931,0.0,0.0,0.034,0.034,0.0,0.034,0.927,0.038,0,1,0
588015510343581867,00:04:35.70,+00:59:54.7,43,0.907,0.0,0.023,0.023,0.047,0.0,0.047,0.858,0.093,0,0,1
587727225153781926,00:04:45.62,-10:54:59.4,48,0.917,0.042,0.0,0.021,0.021,0.0,0.062,0.909,0.07,0,1,0
588015510343647360,00:04:48.94,+00:57:04.1,31,0.968,0.0,0.0,0.032,0.0,0.0,0.032,0.968,0.032,0,1,0
588015509806776450,00:04:49.19,+00:28:01.1,56,0.911,0.0,0.0,0.054,0.018,0.018,0.054,0.848,0.113,0,0,1
587731186741346415,00:04:52.36,+00:21:06.2,38,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
587727221950906570,00:04:53.38,+14:55:58.6,35,0.971,0.0,0.0,0.0,0.0,0.029,0.0,0.971,0.0,0,1,0
587727227838136451,00:04:54.03,-08:53:40.7,28,0.0,0.929,0.0,0.036,0.036,0.0,0.964,0.0,0.964,1,0,0
587730775499931810,00:04:58.10,+15:49:59.1,57,0.0,0.0,0.912,0.035,0.0,0.053,0.947,0.0,0.947,1,0,0
588015510343647386,00:04:58.59,+00:57:43.5,50,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0,0,1,0
588015509806776498,00:05:05.45,+00:27:45.6,33,0.0,0.03,0.97,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
588015509806776514,00:05:10.33,+00:28:05.2,33,0.939,0.0,0.03,0.0,0.03,0.0,0.03,0.897,0.071,0,1,0
587731186204475615,00:05:12.07,-00:09:02.6,24,0.958,0.0,0.0,0.042,0.0,0.0,0.042,0.939,0.061,0,1,0
587731186204475676,00:05:19.41,-00:05:24.7,31,0.032,0.0,0.903,0.032,0.032,0.0,0.935,0.0090,0.959,1,0,0
587730775499931885,00:05:21.08,+15:58:04.7,23,0.913,0.0,0.0,0.043,0.043,0.0,0.043,0.913,0.044,0,1,0
587727226764460180,00:05:31.73,-09:35:01.3,26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
587731185130799290,00:05:35.89,-00:55:20.3,34,0.059,0.0,0.941,0.0,0.0,0.0,0.941,0.057,0.943,1,0,0
587727180060688540,00:05:49.16,-09:32:37.3,57,0.053,0.912,0.0,0.0,0.018,0.018,0.912,0.0060,0.958,1,0,0
587727223024779533,00:05:57.54,+15:41:55.2,32,0.906,0.062,0.031,0.0,0.0,0.0,0.094,0.873,0.127,0,1,0
587730775499997420,00:06:02.29,+15:50:34.7,32,0.938,0.0,0.0,0.031,0.031,0.0,0.031,0.899,0.068,0,1,0
587730775499997427,00:06:02.31,+15:59:30.4,27,0.0,0.0,0.926,0.0,0.0,0.074,0.926,0.0,0.926,1,0,0
588015508196294817,00:06:03.91,-00:43:37.1,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
587727227301396592,00:06:05.59,-09:20:07.1,32,0.906,0.0,0.0,0.062,0.031,0.0,0.062,0.816,0.149,0,0,1
587727220877295779,00:06:05.73,+13:58:43.8,33,0.97,0.0,0.0,0.0,0.03,0.0,0.0,0.97,0.0,0,1,0
587727180597624973,00:06:07.05,-08:56:22.2,32,0.969,0.0,0.0,0.0,0.031,0.0,0.0,0.969,0.0,0,1,0
588015508733165680,00:06:08.42,-00:22:19.7,71,0.014,0.0,0.986,0.0,0.0,0.0,0.986,0.0040,0.996,1,0,0
588015509806907572,00:06:08.55,+00:27:20.0,27,0.963,0.0,0.0,0.0,0.037,0.0,0.0,0.963,0.0,0,1,0
587730773889450114,00:06:14.38,+14:39:39.2,35,0.943,0.0,0.0,0.029,0.029,0.0,0.029,0.942,0.029,0,1,0
587727223024844955,00:06:16.01,+15:46:14.6,28,0.929,0.0,0.0,0.036,0.036,0.0,0.036,0.868,0.092,0,0,1
587730773889450117,00:06:16.19,+14:34:38.6,44,0.955,0.0,0.0,0.023,0.023,0.0,0.023,0.955,0.023,0,1,0
587727177913270351,00:06:18.00,-11:11:47.4,54,0.981,0.0,0.0,0.0,0.019,0.0,0.0,0.981,0.0,0,1,0
587730772815708251,00:06:20.83,+13:52:25.6,30,0.933,0.0,0.0,0.033,0.033,0.0,0.033,0.894,0.071,0,1,0
587727227838267555,00:06:22.17,-08:55:51.0,28,0.964,0.0,0.0,0.0,0.036,0.0,0.0,0.964,0.0,0,1,0
587727223561715940,00:06:24.40,+16:10:42.3,35,0.914,0.0,0.0,0.086,0.0,0.0,0.086,0.529,0.471,1,0,0
587727177913270360,00:06:25.71,-11:04:53.7,51,0.941,0.0,0.0,0.039,0.02,0.0,0.039,0.927,0.053,0,1,0
588015507659489351,00:06:26.21,-01:11:10.8,33,0.909,0.0,0.0,0.061,0.03,0.0,0.061,0.803,0.161,0,0,1
